staff_id,pay_month,base_salary,bonus,deductions
E0001,2025-01-01,191262,14589,27566
E0002,2025-01-01,205005,28250,30307
E0003,2025-01-01,219949,0,27914
E0004,2025-01-01,54053,5377,5415
E0005,2025-01-01,79774,0,8922
E0006,2025-01-01,79111,7792,11119
E0007,2025-01-01,187545,9410,20429
E0008,2025-01-01,119648,12475,14810
E0009,2025-01-01,62329,0,9034
E0010,2025-01-01,105061,0,8617
E0011,2025-01-01,71051,0,7230
E0013,2025-01-01,240394,0,26997
E0014,2025-01-01,149097,26065,21662
E0015,2025-01-01,198942,30998,27540
E0016,2025-01-01,196271,0,20972
E0017,2025-01-01,247287,0,34739
E0018,2025-01-01,202114,34056,20978
E0019,2025-01-01,99162,0,9896
E0020,2025-01-01,243343,33591,34206
E0021,2025-01-01,176989,0,20997
E0022,2025-01-01,139713,0,19682
E0023,2025-01-01,158099,13568,15233
E0024,2025-01-01,156056,8825,20188
E0025,2025-01-01,117949,0,13526
E0026,2025-01-01,194278,0,27370
E0027,2025-01-01,152415,17687,12357
E0028,2025-01-01,120053,0,10233
E0029,2025-01-01,189062,16969,23725
E0030,2025-01-01,202798,36068,29769
E0031,2025-01-01,55789,10216,7870
E0032,2025-01-01,199811,0,29936
E0033,2025-01-01,234009,0,31176
E0034,2025-01-01,66013,0,8488
E0035,2025-01-01,239946,0,24123
E0036,2025-01-01,94470,6786,11300
E0037,2025-01-01,203975,0,25020
E0038,2025-01-01,95318,14533,13716
E0039,2025-01-01,109375,0,12269
E0040,2025-01-01,213127,39394,30495
E0041,2025-01-01,61282,4516,8957
E0042,2025-01-01,81171,7701,10416
E0043,2025-01-01,102879,9806,14376
E0044,2025-01-01,85564,0,10288
E0045,2025-01-01,184701,17414,18325
E0046,2025-01-01,59677,0,8578
E0047,2025-01-01,81034,0,10883
E0048,2025-01-01,40701,0,5070
E0049,2025-01-01,147090,0,18236
E0050,2025-01-01,158096,0,21375
E0051,2025-01-01,220714,0,19050
E0052,2025-01-01,195664,0,18403
E0053,2025-01-01,163184,0,19119
E0054,2025-01-01,116351,0,16753
E0055,2025-01-01,48556,0,6422
E0056,2025-01-01,100680,0,9046
E0057,2025-01-01,115524,20681,17064
E0058,2025-01-01,225324,23629,18245
E0059,2025-01-01,114112,0,13798
E0060,2025-01-01,224283,0,28537
E0061,2025-01-01,159021,0,22910
E0062,2025-01-01,58659,3489,8427
E0063,2025-01-01,220193,0,18314
E0064,2025-01-01,101190,0,8784
E0065,2025-01-01,109351,7693,11588
E0066,2025-01-01,246524,38081,29857
E0067,2025-01-01,247420,0,34233
E0068,2025-01-01,203855,0,16775
E0069,2025-01-01,194609,0,27222
E0070,2025-01-01,213325,0,17970
E0071,2025-01-01,91857,17933,7938
E0072,2025-01-01,151447,0,12652
E0073,2025-01-01,70087,0,5944
E0074,2025-01-01,182753,0,25021
E0075,2025-01-01,98932,0,9835
E0076,2025-01-01,209773,0,28507
E0077,2025-01-01,79056,0,6407
E0078,2025-01-01,109633,0,8892
E0079,2025-01-01,77286,5334,9029
E0080,2025-01-01,58719,0,6807
E0081,2025-01-01,55633,0,7283
E0082,2025-01-01,83495,0,9357
E0083,2025-01-01,247782,14650,34519
E0084,2025-01-01,120638,7986,10272
E0085,2025-01-01,195987,0,17410
E0086,2025-01-01,236334,0,25208
E0087,2025-01-01,189214,17831,16451
E0088,2025-01-01,115657,0,12734
E0089,2025-01-01,155121,17385,16739
E0090,2025-01-01,72598,0,9188
E0091,2025-01-01,162866,11872,13795
E0092,2025-01-01,220532,0,29137
E0093,2025-01-01,119715,0,14492
E0094,2025-01-01,223430,0,24299
E0095,2025-01-01,145515,27818,20484
E0096,2025-01-01,111367,0,11651
E0097,2025-01-01,171195,14023,16383
E0098,2025-01-01,181552,0,15984
E0099,2025-01-01,169445,14220,23580
E0100,2025-01-01,154755,0,18978
E0101,2025-01-01,61087,0,5658
E0102,2025-01-01,196771,0,20577
E0103,2025-01-01,50449,3606,4282
E0104,2025-01-01,153253,0,20264
E0105,2025-01-01,232553,0,21167
E0106,2025-01-01,124494,0,17657
E0107,2025-01-01,198259,0,25214
E0108,2025-01-01,105632,15770,12939
E0109,2025-01-01,46780,0,4873
E0110,2025-01-01,63940,9702,7474
E0111,2025-01-01,100011,0,8055
E0112,2025-01-01,216763,0,28936
E0113,2025-01-01,190784,12973,25239
E0114,2025-01-01,193910,0,22303
E0115,2025-01-01,45438,0,4898
E0116,2025-01-01,240477,27759,34744
E0117,2025-01-01,216234,29487,28038
E0118,2025-01-01,110650,0,16336
E0119,2025-01-01,191059,36710,26412
E0120,2025-01-01,50546,0,4905
E0001,2025-02-01,191262,24595,26956
E0002,2025-02-01,205005,0,17496
E0003,2025-02-01,219949,0,31544
E0004,2025-02-01,54053,0,5218
E0005,2025-02-01,79774,0,10627
E0006,2025-02-01,79111,6058,8898
E0007,2025-02-01,187545,0,26350
E0008,2025-02-01,119648,0,13499
E0009,2025-02-01,62329,0,6522
E0010,2025-02-01,105061,0,8823
E0011,2025-02-01,71051,0,8743
E0012,2025-02-01,186295,0,20768
E0013,2025-02-01,240394,0,29412
E0014,2025-02-01,149097,28874,13008
E0015,2025-02-01,198942,0,22942
E0016,2025-02-01,196271,17107,29317
E0017,2025-02-01,247287,0,26237
E0018,2025-02-01,202114,0,25774
E0019,2025-02-01,99162,0,8390
E0020,2025-02-01,243343,0,23760
E0021,2025-02-01,176989,0,18289
E0022,2025-02-01,139713,0,14211
E0023,2025-02-01,158099,0,19233
E0024,2025-02-01,156056,15050,19514
E0025,2025-02-01,117949,0,14770
E0026,2025-02-01,194278,0,19743
E0027,2025-02-01,152415,15434,14242
E0028,2025-02-01,120053,0,16701
E0029,2025-02-01,189062,0,23885
E0030,2025-02-01,202798,28940,18414
E0031,2025-02-01,55789,0,7280
E0032,2025-02-01,199811,0,29546
E0033,2025-02-01,234009,38110,22554
E0034,2025-02-01,66013,12862,9458
E0035,2025-02-01,239946,36411,26950
E0036,2025-02-01,94470,10135,13947
E0037,2025-02-01,203975,0,28783
E0038,2025-02-01,95318,0,11325
E0039,2025-02-01,109375,0,10933
E0040,2025-02-01,213127,0,29448
E0041,2025-02-01,61282,11434,8697
E0042,2025-02-01,81171,9110,9346
E0043,2025-02-01,102879,0,9847
E0044,2025-02-01,85564,0,11585
E0045,2025-02-01,184701,17183,23776
E0046,2025-02-01,59677,9299,7345
E0047,2025-02-01,81034,0,11219
E0048,2025-02-01,40701,6475,3573
E0049,2025-02-01,147090,0,14222
E0050,2025-02-01,158096,0,13875
E0051,2025-02-01,220714,0,27421
E0052,2025-02-01,195664,0,21532
E0053,2025-02-01,163184,14048,15194
E0054,2025-02-01,116351,0,9859
E0055,2025-02-01,48556,0,5212
E0056,2025-02-01,100680,0,9842
E0058,2025-02-01,225324,0,30195
E0059,2025-02-01,114112,0,11943
E0060,2025-02-01,224283,32839,33341
E0061,2025-02-01,159021,0,13424
E0062,2025-02-01,58659,0,5520
E0063,2025-02-01,220193,0,32002
E0064,2025-02-01,101190,20073,9889
E0065,2025-02-01,109351,0,15347
E0066,2025-02-01,246524,0,21870
E0067,2025-02-01,247420,45383,35288
E0068,2025-02-01,203855,39968,26184
E0069,2025-02-01,194609,0,26482
E0070,2025-02-01,213325,0,25211
E0071,2025-02-01,91857,0,9319
E0072,2025-02-01,151447,17252,15843
E0073,2025-02-01,70087,0,8623
E0074,2025-02-01,182753,0,15580
E0075,2025-02-01,98932,0,14513
E0076,2025-02-01,209773,29607,17293
E0077,2025-02-01,79056,0,8329
E0078,2025-02-01,109633,0,13982
E0079,2025-02-01,77286,0,9288
E0080,2025-02-01,58719,0,5724
E0081,2025-02-01,55633,8921,6467
E0082,2025-02-01,83495,0,10794
E0083,2025-02-01,247782,35131,23295
E0084,2025-02-01,120638,0,17240
E0085,2025-02-01,195987,0,24841
E0086,2025-02-01,236334,0,33652
E0087,2025-02-01,189214,0,25650
E0088,2025-02-01,115657,0,15665
E0089,2025-02-01,155121,0,18426
E0090,2025-02-01,72598,0,8918
E0091,2025-02-01,162866,15699,19023
E0092,2025-02-01,220532,0,19577
E0093,2025-02-01,119715,7318,15277
E0094,2025-02-01,223430,0,29883
E0095,2025-02-01,145515,0,20110
E0096,2025-02-01,111367,0,11425
E0097,2025-02-01,171195,0,23833
E0098,2025-02-01,181552,0,16115
E0099,2025-02-01,169445,0,20575
E0100,2025-02-01,154755,0,21507
E0101,2025-02-01,61087,0,5234
E0102,2025-02-01,196771,0,24710
E0103,2025-02-01,50449,0,5795
E0104,2025-02-01,153253,0,17441
E0105,2025-02-01,232553,0,25987
E0106,2025-02-01,124494,9177,14180
E0107,2025-02-01,198259,0,27817
E0108,2025-02-01,105632,0,15663
E0109,2025-02-01,46780,0,4787
E0110,2025-02-01,63940,0,5746
E0111,2025-02-01,100011,19183,9739
E0112,2025-02-01,216763,0,31509
E0113,2025-02-01,190784,0,21917
E0114,2025-02-01,193910,0,22264
E0115,2025-02-01,45438,4952,6710
E0116,2025-02-01,240477,0,23974
E0117,2025-02-01,216234,38150,21624
E0119,2025-02-01,191059,0,25015
E0120,2025-02-01,50546,5302,4225
E0001,2025-03-01,191262,0,16285
E0002,2025-03-01,205005,0,28244
E0003,2025-03-01,219949,0,32609
E0004,2025-03-01,54053,0,6435
E0005,2025-03-01,79774,5715,9174
E0006,2025-03-01,79111,0,10781
E0007,2025-03-01,187545,0,19309
E0008,2025-03-01,119648,0,14544
E0009,2025-03-01,62329,7882,8079
E0010,2025-03-01,105061,0,10841
E0011,2025-03-01,71051,0,9647
E0012,2025-03-01,186295,0,22688
E0013,2025-03-01,240394,0,31371
E0014,2025-03-01,149097,11268,13470
E0015,2025-03-01,198942,0,18572
E0016,2025-03-01,196271,22143,25188
E0017,2025-03-01,247287,41110,34892
E0018,2025-03-01,202114,0,23507
E0019,2025-03-01,99162,19804,11580
E0020,2025-03-01,243343,0,28773
E0021,2025-03-01,176989,0,21717
E0022,2025-03-01,139713,0,13376
E0023,2025-03-01,158099,0,20449
E0024,2025-03-01,156056,19250,16295
E0025,2025-03-01,117949,0,11812
E0026,2025-03-01,194278,25543,26672
E0027,2025-03-01,152415,0,12642
E0028,2025-03-01,120053,7426,15117
E0029,2025-03-01,189062,0,27473
E0030,2025-03-01,202798,0,19666
E0031,2025-03-01,55789,0,4668
E0032,2025-03-01,199811,0,25513
E0033,2025-03-01,234009,0,25386
E0034,2025-03-01,66013,11999,8287
E0035,2025-03-01,239946,0,30044
E0036,2025-03-01,94470,0,11097
E0037,2025-03-01,203975,0,22285
E0038,2025-03-01,95318,0,14279
E0039,2025-03-01,109375,0,15463
E0041,2025-03-01,61282,0,6123
E0042,2025-03-01,81171,10674,11546
E0043,2025-03-01,102879,0,9619
E0044,2025-03-01,85564,6364,10728
E0045,2025-03-01,184701,0,25000
E0046,2025-03-01,59677,0,7326
E0047,2025-03-01,81034,8980,9406
E0048,2025-03-01,40701,0,6053
E0049,2025-03-01,147090,0,14452
E0050,2025-03-01,158096,0,15989
E0051,2025-03-01,220714,0,28360
E0052,2025-03-01,195664,0,17841
E0053,2025-03-01,163184,0,20940
E0054,2025-03-01,116351,0,14314
E0055,2025-03-01,48556,0,5431
E0056,2025-03-01,100680,10676,13392
E0057,2025-03-01,115524,0,14744
E0058,2025-03-01,225324,37878,26357
E0059,2025-03-01,114112,0,9622
